,,,,,,
,,,,,,
,,,,,,
Name,#5,#6,#1,Kas 4,#3,#4
Correction,UV,UV,UV,UV,UV,UV
Date,03/02/2017,03/02/2017,03/02/2017,03/02/2017,03/02/2017,03/02/2017
Time,16:53:58,16:59:29,16:44:37,16:45:53,16:47:34,16:50:30
T_int [ms],279.00,150.00,230.00,1892.00,1047.00,594.00
,,,,,,
Ev [lx],4.582E+02,5.905E+03,5.575E+02,4.999E+02,7.806E+02,1.772E+03
Ee [W/sqm] (350-1000nm),1.495E+00,1.720E+01,1.789E+00,1.591E+00,3.621E+00,1.151E+01
CCT [K],3167,4924,3163,5085,8244,9340
DWl [nm],581.9,567.4,581.9,565.2,487.7,482.2
PE [%],48.5,17.6,48.6,14.3,16.7,20.3
,,,,,,
Chrom. Coord.,,,,,,
x,0.4264,0.3496,0.4266,0.3443,0.2871,0.2823
y,0.4017,0.3755,0.4016,0.3699,0.3191,0.2981
u',0.2448,0.2054,0.2449,0.2040,0.1836,0.1878
v',0.5189,0.4965,0.5189,0.4932,0.4591,0.4462
,,,,,,
CIE XYZ,,,,,,
X,486.4,5497,592.2,465.3,702.4,1678
Y,458.2,5905,557.5,499.9,780.6,1772
Z,196.1,4324,238.5,386.3,963.3,2494
,,,,,,
CIE 13.3-1995 CRI,,,,,,
Ref. Illum.,Planckian radiator,Planckian radiator,Planckian radiator,Daylight 5000-7000K,Daylight >7000K,Daylight >7000K
CCT [K],3167,4924,3163,5085,8244,9340
R1,91.7,63.7,92.1,70.1,94.7,96.0
R2,96.3,70.5,96.6,75.8,96.4,97.5
R3,64.9,75.8,63.7,79.9,98.1,98.4
R4,88.8,68.3,88.7,73.9,94.1,96.7
R5,96.7,64.0,96.6,70.6,94.9,96.9
R6,95.5,59.9,94.6,67.6,96.1,97.3
R7,91.2,78.8,90.8,81.6,97.1,96.9
R8,74.9,54.6,74.5,60.0,92.8,93.1
R9,20.2,-41.1,18.8,-23.1,76.8,77.9
R10,73.8,30.3,72.0,42.1,93.9,94.1
R11,92.3,63.9,91.5,70.6,93.1,96.3
R12,77.8,30.8,75.9,46.0,94.0,97.4
R13,88.3,63.8,88.7,70.3,94.2,96.1
R14,75.0,86.3,74.3,88.4,98.7,99.0
R15,93.0,56.2,93.1,63.2,92.4,94.5
Ra,87.49,66.96,87.19,72.42,95.52,96.60
DC,5.8E-03,9.8E-03,5.9E-03,6.0E-03,8.5E-03,1.2E-03
,,,,,,
PAR,,,,,,
Begin [nm],400,400,400,400,400,400
End [nm],700,700,700,700,700,700
Ephot (Begin..End) [umol/s sqm],6.17535E+00,7.62224E+01,7.45004E+00,6.76341E+00,1.36207E+01,3.43543E+01
Ephot (401..500nm) [umol/s sqm],1.05440E+00,1.51006E+01,1.26679E+00,1.47858E+00,4.86457E+00,1.26698E+01
Ephot (501..600nm) [umol/s sqm],2.41814E+00,3.99893E+01,2.94042E+00,3.33924E+00,5.05452E+00,1.13542E+01
Ephot (601..700nm) [umol/s sqm],2.70107E+00,2.11275E+01,3.24070E+00,1.94371E+00,3.67362E+00,1.02333E+01
,,,,,,
Circadian,,,,,,
Eec [W/sqm],0.295,4.800,0.355,0.447,1.223,3.065
acv,0.439,0.555,0.434,0.611,1.070,1.181
CCT [K],3167,4924,3163,5085,8244,9340
,,,,,,
LED Values,,,,,,
Peak WL [nm],611.0,447.0,611.0,447.0,482.0,450.0
Peak FWHM [nm],4.8,20.2,4.8,22.9,226.3,226.3
Centroid WL [nm],582.8,553.4,582.6,559.8,553.0,589.2
,,,,,,
RGB Values,,,,,,
RGB Space,manual,manual,manual,manual,manual,manual
R,648.5,5683.5,789.9,471.5,509.2,1208.8
G,420.5,5974.0,511.4,507.6,837.0,1884.6
B,193.8,4305.4,235.6,384.9,964.3,2499.6
,,,,,,
Ratio Values,,,,,,
Wavelength Range Dividend [nm],600 - 700,600 - 700,380 - 400,380 - 400,600 - 700,600 - 700
Wavelength Range Divisor [nm],700 - 800,700 - 800,400 - 420,400 - 420,700 - 800,700 - 800
Ratio Value,4.4684,8.8914,0.1578,0.2648,2.3034,1.2758
,,,,,,
,,,,,,
Wavelength [nm],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)]
380,2.52654E-04,1.08492E-03,2.44200E-04,1.56240E-04,2.53603E-03,1.82798E-02
381,1.80548E-04,9.94888E-04,2.48570E-04,1.31972E-04,2.42734E-03,1.62993E-02
382,1.73609E-04,8.69387E-04,3.52043E-04,1.83107E-04,2.45115E-03,1.50602E-02
383,1.36359E-04,9.54460E-04,1.75894E-04,1.72798E-04,2.46803E-03,1.47766E-02
384,2.71466E-04,1.06503E-03,1.82449E-04,2.00646E-04,2.73586E-03,1.58232E-02
385,1.68340E-04,9.46351E-04,2.39245E-04,2.04326E-04,3.05992E-03,1.66408E-02
386,1.95077E-04,9.56821E-04,1.55573E-04,1.93562E-04,3.29151E-03,1.70795E-02
387,2.43152E-04,1.15206E-03,2.34886E-04,2.55268E-04,3.58139E-03,1.79326E-02
388,2.19529E-04,1.16913E-03,1.62829E-04,2.87179E-04,3.86039E-03,1.84076E-02
389,2.16738E-04,1.31101E-03,2.59087E-04,2.39377E-04,4.17485E-03,1.92442E-02
390,2.08559E-04,9.03863E-04,3.72024E-04,2.83168E-04,4.55526E-03,2.02656E-02
391,1.86269E-04,1.15757E-03,2.67545E-04,2.69184E-04,4.40993E-03,1.91513E-02
392,1.58016E-04,1.12056E-03,3.36538E-04,2.60691E-04,4.08875E-03,1.72581E-02
393,1.60192E-04,1.21394E-03,2.89549E-04,2.76598E-04,4.14291E-03,1.69954E-02
394,2.59924E-04,1.07961E-03,2.98149E-04,3.08212E-04,4.48269E-03,1.76357E-02
395,2.33879E-04,1.23454E-03,3.21194E-04,3.21208E-04,4.60863E-03,1.77870E-02
396,3.03159E-04,1.27614E-03,2.60457E-04,3.50648E-04,4.92976E-03,1.84294E-02
397,3.48632E-04,1.33297E-03,3.70105E-04,3.53688E-04,5.61831E-03,2.06313E-02
