;;;;
bewolkt. Doeken open. 4500 lux;;;;
;open;wit;transparant;open
w/m2;73;74;74;74
Name;#1;#2;#3;#4
Correction;UV;UV;UV;UV
Date;23-6-2016;23-6-2016;23-6-2016;23-6-2016
Time;10:16:50;10:17:01;10:17:26;10:17:35
Integration Time [ms];50,000;145,000;56,000;50,000
;;;;
Illuminance [lx];9,320E+03;1,165E+03;8,141E+03;9,359E+03
Irradiance [W/sqm]  (380-780nm);3,432E+01;4,593E+00;3,026E+01;3,465E+01
Correlated Colour Temp. (CCT) [K];3092;2925;3168;3124
Dominant Wavelength (DWl) [nm];585,8;583,0;585,4;585,7
Colour Purity (PE) [%];40,2;55,0;38,9;39,5
;;;;
Chromaticity Coordinates;;;;
x;0,4204;0,4428;0,4164;0,4186
y;0,3799;0,4067;0,3795;0,3795
u';0,2503;0,2532;0,2478;0,2493
v';0,5089;0,5233;0,5082;0,5085
;;;;
CIE XYZ;;;;
X;10313;1269;8932;10323
Y;9320;1165;8141;9359
Z;4900;431;4378;4981
;;;;
Colour Rendering Index;;;;
Reference Illuminant;Planckian radiator;Planckian radiator;Planckian radiator;Planckian radiator
CCT [K];3092;2925;3168;3124
R1;68,6;61,3;70,3;69,5
R2;90,2;83,5;90,6;90,6
R3;78,9;84,9;80,4;79,3
R4;62,8;56,6;65,3;63,9
R5;72,4;62,8;74,0;73,2
R6;89,2;79,0;89,6;89,6
R7;70,0;71,3;71,7;70,6
R8;36,4;30,8;39,7;37,8
R9;-36,5;-53,4;-30,9;-33,9
R10;84,4;68,6;84,8;85,0
R11;57,8;47,7;60,6;59,1
R12;89,6;67,4;89,7;89,9
R13;72,5;64,5;73,9;73,4
R14;87,3;90,5;88,2;87,6
R15;62,5;54,3;64,3;63,4
Ra;71,06;66,28;72,69;71,81
DC;8,1E-03;1,0E-03;7,7E-03;8,1E-03
;;;;
Photosynthetically Active Radiation;;;;
Begin Wavelength [nm];400;400;400;400
End Wavelength [nm];700;700;700;700
Ephot (Begin..End) [uMol/s sqm];1,4058E+02;1,6565E+01;1,2322E+02;1,4161E+02
Ephot (401..500nm) [uMol/s sqm];2,5135E+01;2,1240E+00;2,2448E+01;2,5586E+01
Ephot (501..600nm) [uMol/s sqm];5,8359E+01;7,3378E+00;5,1035E+01;5,8629E+01
Ephot (601..700nm) [uMol/s sqm];5,6948E+01;7,1028E+00;4,9617E+01;5,7250E+01
Ephot (701..800nm) [uMol/s sqm];3,2471E+01;9,4722E+00;2,9684E+01;3,3040E+01
;;;;
Circadian Metrics;;;;
Eec [W/sqm];6,362E+0;5,914E-1;5,672E+0;6,480E+0
acv;4,662E-1;3,466E-1;4,758E-1;4,729E-1
CCT [K];3092;2925;3168;3124
;;;;
LED Values;;;;
Peak Wavelength [nm];819,0;819,0;819,0;819,0
PEAK FWHM [nm];5,7;5,7;5,7;5,7
Centroid Wavelength [nm];631,4;703,0;631,9;631,5
;;;;
RGB Values;;;;
RGB Space;manual;manual;manual;manual
R;13756,5;1756,5;11789,1;13707,2
G;8417,7;1047,2;7400,5;8475,4
B;4861,9;424,5;4345,9;4943,0
;;;;
Ratio Values;;;;
Wavelength Range Dividend [nm];600 - 700;600 - 700;600 - 700;600 - 700
Wavelength Range Divisor [nm];701 - 800;701 - 800;701 - 800;701 - 800
Ratio Value;2,0954;0,8991;1,9957;2,0689
;;;;
Name of spectral function;2006-25-EG_80_B.csv;2006-25-EG_80_B.csv;2006-25-EG_80_B.csv;2006-25-EG_80_B.csv
Spectral operation;Multiplication;Multiplication;Multiplication;Multiplication
Integral Value [W/sqm];4,356E+00;3,705E-01;3,892E+00;4,430E+00
;;;;
;;;;
Wavelength [nm];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)]
380;2,34628E-02;2,49030E-04;2,06343E-02;2,33082E-02
381;2,05564E-02;2,99979E-04;1,80667E-02;2,16162E-02
382;2,10028E-02;2,78721E-05;1,79829E-02;2,05853E-02
383;2,04686E-02;2,44035E-04;1,72069E-02;2,14288E-02
384;2,13166E-02;-3,45871E-05;1,72937E-02;1,98856E-02
385;2,36216E-02;1,53048E-04;1,87468E-02;2,18082E-02
386;2,27753E-02;2,61362E-04;1,79914E-02;2,20515E-02
387;2,37617E-02;1,42756E-05;2,12962E-02;2,51191E-02
388;2,34322E-02;-1,61116E-05;2,05617E-02;2,49144E-02
389;2,53451E-02;2,61154E-04;2,26315E-02;2,64641E-02
390;2,79958E-02;3,18691E-05;2,31011E-02;2,96218E-02
391;2,69992E-02;2,73321E-04;2,24421E-02;2,64847E-02
392;2,41634E-02;1,27466E-04;1,96579E-02;2,48452E-02
393;2,45721E-02;1,10974E-04;2,06487E-02;2,52114E-02
394;2,52692E-02;-1,29880E-05;2,08458E-02;2,58456E-02
395;2,43844E-02;-2,83321E-07;2,24444E-02;2,59190E-02
396;2,64521E-02;2,06507E-05;2,40969E-02;2,80890E-02
397;2,87607E-02;6,75721E-05;2,50783E-02;2,94542E-02
398;3,34649E-02;7,13762E-05;2,91860E-02;3,52893E-02
399;3,72876E-02;2,83687E-04;3,40971E-02;4,03190E-02
400;4,16073E-02;2,14090E-04;3,75844E-02;4,29892E-02
401;4,48252E-02;3,85010E-05;3,98401E-02;4,66876E-02
402;4,37996E-02;2,52253E-04;4,06513E-02;4,55563E-02
403;4,42568E-02;6,82010E-04;3,92426E-02;4,65757E-02
404;4,71378E-02;4,92933E-04;4,05933E-02;4,66664E-02
405;4,64951E-02;1,16514E-03;4,15340E-02;4,63114E-02
406;4,68574E-02;1,35408E-03;3,99721E-02;4,57815E-02
407;4,65777E-02;1,33871E-03;4,23417E-02;4,91997E-02
408;4,76495E-02;1,82363E-03;4,31070E-02;4,87078E-02
409;4,72672E-02;1,98959E-03;4,32176E-02;4,91774E-02
410;4,94543E-02;2,15031E-03;4,42876E-02;4,92630E-02
411;5,09813E-02;2,20033E-03;4,50558E-02;5,21590E-02
412;5,29945E-02;3,48773E-03;4,55983E-02;5,50573E-02
