;;;;;;;;
;;;;;;;;
;;;;;;;;
Name;#1;#2;#3;#4;#5;#6;#7;#8
Correction;UV;UV;UV;UV;UV;UV;UV;UV
Date;30-8-2016;30-8-2016;30-8-2016;30-8-2016;30-8-2016;30-8-2016;30-8-2016;30-8-2016
Time;15:42:59;15:44:05;15:44:52;15:45:39;15:46:21;15:46:50;15:47:03;15:47:28
Integration Time [ms];192,000;241,000;137,000;117,000;100,000;100,000;100,000;100,000
;;;;;;;;
Illuminance [lx];4,357E+02;3,729E+02;6,756E+02;8,644E+02;1,114E+03;9,520E+02;9,731E+02;1,005E+03
Irradiance [W/sqm]  (350-1000nm);3,949E+00;3,008E+00;5,171E+00;6,321E+00;7,888E+00;6,996E+00;7,131E+00;7,285E+00
Dominant Wavelength (DWl) [nm];-545,8;-551,7;-552,0;-556,0;-561,3;-557,2;-557,8;-558,7
;;;;;;;;
Colour Rendering Index;;;;;;;;
Reference Illuminant;CRI not calculated!;CRI not calculated!;CRI not calculated!;CRI not calculated!;CRI not calculated!;CRI not calculated!;CRI not calculated!;CRI not calculated!
CCT [K];0;0;0;0;0;0;0;0
R1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ra;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
